-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2023 through 12/31/2023 in LST
Location: latitude  -28.74   longitude 24.77 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1223.79 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN
2023,1,1,8.545,8.9371
2023,1,2,8.4403,8.9717
2023,1,3,7.6704,8.951
2023,1,4,5.9666,8.9114
2023,1,5,7.794,9.1608
2023,1,6,8.2975,9.2482
2023,1,7,8.9758,9.2837
2023,1,8,7.9963,9.048
2023,1,9,8.4667,9.2054
2023,1,10,8.4715,9.1022
2023,1,11,8.3426,9.0624
2023,1,12,8.7581,9.0842
2023,1,13,9.1778,9.2165
2023,1,14,9.168,9.1846
2023,1,15,9.0996,9.1618
2023,1,16,8.8454,8.9513
2023,1,17,8.5829,8.9122
2023,1,18,7.939,8.6359
2023,1,19,5.5946,8.4871
2023,1,20,6.6708,8.3086
2023,1,21,7.2055,8.4466
2023,1,22,6.8976,8.5495
2023,1,23,8.3275,8.7542
2023,1,24,5.819,8.5181
2023,1,25,7.0361,8.4487
2023,1,26,7.5101,8.5606
2023,1,27,8.0657,8.7206
2023,1,28,6.7692,8.6059
2023,1,29,8.2277,8.7984
2023,1,30,6.925,8.5778
2023,1,31,8.0431,8.507
2023,2,1,7.8518,8.5469
2023,2,2,7.26,8.4782
2023,2,3,7.4177,8.5022
2023,2,4,7.5242,8.4953
2023,2,5,6.1241,8.3765
2023,2,6,7.3778,8.3506
2023,2,7,4.5701,7.9735
2023,2,8,2.7372,7.7496
2023,2,9,5.8778,8.1648
2023,2,10,6.805,8.0719
2023,2,11,4.4328,7.9867
2023,2,12,6.8021,8.1821
2023,2,13,7.7698,8.1624
2023,2,14,6.9722,7.9109
2023,2,15,5.2354,7.7525
2023,2,16,6.0682,7.7966
2023,2,17,6.043,7.829
2023,2,18,7.1616,8.0254
2023,2,19,7.7623,8.1842
2023,2,20,7.8077,8.1547
2023,2,21,8.3707,8.3734
2023,2,22,8.2111,8.2759
2023,2,23,7.8034,8.0254
2023,2,24,7.6982,7.9478
2023,2,25,7.4052,7.9457
2023,2,26,7.68,7.9457
2023,2,27,6.4246,7.7306
2023,2,28,7.0236,7.7011
2023,3,1,7.3675,7.6898
2023,3,2,5.1374,7.3524
2023,3,3,4.5194,7.2362
2023,3,4,7.285,7.4573
2023,3,5,6.5647,7.3507
2023,3,6,7.5178,7.7254
2023,3,7,7.0133,7.2679
2023,3,8,6.9041,7.3963
2023,3,9,7.6406,7.7594
2023,3,10,7.6805,7.6891
2023,3,11,6.7006,7.2379
2023,3,12,7.4494,7.5554
2023,3,13,6.9014,7.1767
2023,3,14,6.2578,7.158
2023,3,15,6.2702,6.9689
2023,3,16,6.6874,6.9636
2023,3,17,6.3528,6.9252
2023,3,18,6.103,6.8914
2023,3,19,6.0958,6.8182
2023,3,20,1.9682,6.5434
2023,3,21,5.3141,6.6924
2023,3,22,3.8525,6.6098
2023,3,23,3.2366,6.4382
2023,3,24,4.7018,6.3103
2023,3,25,4.5586,6.5263
2023,3,26,6.5676,6.749
2023,3,27,6.7138,6.7219
2023,3,28,5.9441,6.4855
2023,3,29,6.0502,6.5042
2023,3,30,6.3062,6.6914
2023,3,31,6.3053,6.4567
2023,4,1,5.707,6.3468
2023,4,2,5.6126,6.1975
2023,4,3,5.993,6.2993
2023,4,4,6.3514,6.4289
2023,4,5,6.2011,6.2537
2023,4,6,6.0828,6.1296
2023,4,7,5.2678,6.0451
2023,4,8,4.9253,5.8399
2023,4,9,3.7234,5.6774
2023,4,10,6.2309,6.2354
2023,4,11,6.2302,6.2993
2023,4,12,5.9899,6.187
2023,4,13,5.8392,5.9196
2023,4,14,5.8366,6.0262
2023,4,15,6.0701,6.0703
2023,4,16,5.7866,5.7893
2023,4,17,5.7372,5.7398
2023,4,18,5.689,5.6914
2023,4,19,5.6266,5.6273
2023,4,20,3.3562,5.4667
2023,4,21,5.6002,5.6093
2023,4,22,4.7959,5.4497
2023,4,23,5.4434,5.4562
2023,4,24,3.7246,5.3376
2023,4,25,4.9817,5.1835
2023,4,26,5.2498,5.2565
2023,4,27,4.3126,4.9099
2023,4,28,4.4177,4.9212
2023,4,29,4.9541,5.0035
2023,4,30,5.3662,5.3686
2023,5,1,4.8139,5.0129
2023,5,2,4.525,4.8221
2023,5,3,4.7393,4.981
2023,5,4,4.1779,4.7702
2023,5,5,3.1512,4.4304
2023,5,6,2.7494,4.3882
2023,5,7,1.5598,4.2931
2023,5,8,3.9298,4.6066
2023,5,9,4.5816,4.7237
2023,5,10,4.7791,4.7796
2023,5,11,4.781,4.7863
2023,5,12,3.4709,4.5158
2023,5,13,2.2939,4.296
2023,5,14,3.691,4.5617
2023,5,15,4.2067,4.5458
2023,5,16,4.122,4.5043
2023,5,17,4.4518,4.4767
2023,5,18,3.6874,4.3519
2023,5,19,4.553,4.5818
2023,5,20,4.5048,4.5655
2023,5,21,3.8465,4.3188
2023,5,22,4.1314,4.3457
2023,5,23,3.253,4.259
2023,5,24,4.2358,4.2787
2023,5,25,2.909,4.0529
2023,5,26,4.1791,4.453
2023,5,27,3.6864,4.0577
2023,5,28,2.569,3.822
2023,5,29,1.9042,3.7385
2023,5,30,1.6099,3.7402
2023,5,31,2.765,4.1198
